State,Year,Rainfall_mm
SUBDIVISION,YEAR,ANNUAL
ANDAMAN & NICOBAR ISLANDS,1901,3373.20
ANDAMAN & NICOBAR ISLANDS,1902,3520.70
ANDAMAN & NICOBAR ISLANDS,1903,2957.40
ANDAMAN & NICOBAR ISLANDS,1904,3079.60
ANDAMAN & NICOBAR ISLANDS,1905,2566.70
ANDAMAN & NICOBAR ISLANDS,1906,2534.40
ANDAMAN & NICOBAR ISLANDS,1907,3347.90
ANDAMAN & NICOBAR ISLANDS,1908,3576.40
ANDAMAN & NICOBAR ISLANDS,1910,2899.40
ANDAMAN & NICOBAR ISLANDS,1911,2687.20
ANDAMAN & NICOBAR ISLANDS,1912,2960.50
ANDAMAN & NICOBAR ISLANDS,1913,2365.80
ANDAMAN & NICOBAR ISLANDS,1914,2957.80
ANDAMAN & NICOBAR ISLANDS,1915,2741.30
ANDAMAN & NICOBAR ISLANDS,1916,2937.50
ANDAMAN & NICOBAR ISLANDS,1917,2612.40
ANDAMAN & NICOBAR ISLANDS,1918,3275.00
ANDAMAN & NICOBAR ISLANDS,1919,2352.10
ANDAMAN & NICOBAR ISLANDS,1920,2943.20
ANDAMAN & NICOBAR ISLANDS,1921,2606.40
ANDAMAN & NICOBAR ISLANDS,1922,3554.20
ANDAMAN & NICOBAR ISLANDS,1923,
ANDAMAN & NICOBAR ISLANDS,1924,
ANDAMAN & NICOBAR ISLANDS,1925,2480.50
ANDAMAN & NICOBAR ISLANDS,1926,3282.20
ANDAMAN & NICOBAR ISLANDS,1927,2442.90
ANDAMAN & NICOBAR ISLANDS,1928,2998.30
ANDAMAN & NICOBAR ISLANDS,1929,2926.60
ANDAMAN & NICOBAR ISLANDS,1930,3075.10
ANDAMAN & NICOBAR ISLANDS,1931,2357.70
ANDAMAN & NICOBAR ISLANDS,1932,
ANDAMAN & NICOBAR ISLANDS,1933,2987.50
ANDAMAN & NICOBAR ISLANDS,1934,3722.80
ANDAMAN & NICOBAR ISLANDS,1935,3154.00
ANDAMAN & NICOBAR ISLANDS,1936,
ANDAMAN & NICOBAR ISLANDS,1937,3591.10
ANDAMAN & NICOBAR ISLANDS,1938,3264.40
ANDAMAN & NICOBAR ISLANDS,1939,2782.50
ANDAMAN & NICOBAR ISLANDS,1940,3007.50
ANDAMAN & NICOBAR ISLANDS,1941,2898.20
ANDAMAN & NICOBAR ISLANDS,1942,
ANDAMAN & NICOBAR ISLANDS,1946,2791.60
ANDAMAN & NICOBAR ISLANDS,1947,
ANDAMAN & NICOBAR ISLANDS,1949,3489.60
ANDAMAN & NICOBAR ISLANDS,1950,2422.20
ANDAMAN & NICOBAR ISLANDS,1951,3275.10
ANDAMAN & NICOBAR ISLANDS,1952,3079.90
ANDAMAN & NICOBAR ISLANDS,1953,2721.90
ANDAMAN & NICOBAR ISLANDS,1954,3449.00
ANDAMAN & NICOBAR ISLANDS,1955,3349.60
ANDAMAN & NICOBAR ISLANDS,1956,3080.00
ANDAMAN & NICOBAR ISLANDS,1957,2507.20
ANDAMAN & NICOBAR ISLANDS,1958,2807.40
ANDAMAN & NICOBAR ISLANDS,1959,3343.30
ANDAMAN & NICOBAR ISLANDS,1960,3025.00
ANDAMAN & NICOBAR ISLANDS,1961,3938.20
ANDAMAN & NICOBAR ISLANDS,1962,2959.70
ANDAMAN & NICOBAR ISLANDS,1963,2981.70
ANDAMAN & NICOBAR ISLANDS,1964,3054.80
ANDAMAN & NICOBAR ISLANDS,1965,3163.80
ANDAMAN & NICOBAR ISLANDS,1966,2701.20
ANDAMAN & NICOBAR ISLANDS,1967,3216.40
ANDAMAN & NICOBAR ISLANDS,1968,2762.80
ANDAMAN & NICOBAR ISLANDS,1969,2619.00
ANDAMAN & NICOBAR ISLANDS,1970,3370.80
ANDAMAN & NICOBAR ISLANDS,1971,2998.60
ANDAMAN & NICOBAR ISLANDS,1972,3323.00
ANDAMAN & NICOBAR ISLANDS,1973,2991.10
ANDAMAN & NICOBAR ISLANDS,1974,2962.00
ANDAMAN & NICOBAR ISLANDS,1975,3085.70
ANDAMAN & NICOBAR ISLANDS,1976,3276.00
ANDAMAN & NICOBAR ISLANDS,1977,2388.20
ANDAMAN & NICOBAR ISLANDS,1978,2712.40
ANDAMAN & NICOBAR ISLANDS,1979,1849.40
ANDAMAN & NICOBAR ISLANDS,1980,3625.30
ANDAMAN & NICOBAR ISLANDS,1981,3074.80
ANDAMAN & NICOBAR ISLANDS,1982,2384.50
ANDAMAN & NICOBAR ISLANDS,1983,2792.40
ANDAMAN & NICOBAR ISLANDS,1984,2820.30
ANDAMAN & NICOBAR ISLANDS,1985,2630.80
ANDAMAN & NICOBAR ISLANDS,1986,2187.80
ANDAMAN & NICOBAR ISLANDS,1987,2764.00
ANDAMAN & NICOBAR ISLANDS,1988,3323.00
ANDAMAN & NICOBAR ISLANDS,1989,2533.60
ANDAMAN & NICOBAR ISLANDS,1990,2183.40
ANDAMAN & NICOBAR ISLANDS,1991,2535.80
ANDAMAN & NICOBAR ISLANDS,1992,2098.70
ANDAMAN & NICOBAR ISLANDS,1993,2237.40
ANDAMAN & NICOBAR ISLANDS,1994,3262.80
ANDAMAN & NICOBAR ISLANDS,1995,3115.40
ANDAMAN & NICOBAR ISLANDS,1996,2996.90
ANDAMAN & NICOBAR ISLANDS,1997,2755.10
ANDAMAN & NICOBAR ISLANDS,1998,2846.40
ANDAMAN & NICOBAR ISLANDS,1999,2699.70
ANDAMAN & NICOBAR ISLANDS,2000,2763.20
ANDAMAN & NICOBAR ISLANDS,2001,3080.90
ANDAMAN & NICOBAR ISLANDS,2002,2620.20
ANDAMAN & NICOBAR ISLANDS,2003,2355.90
ANDAMAN & NICOBAR ISLANDS,2004,2460.10
ANDAMAN & NICOBAR ISLANDS,2005,2954.70
ANDAMAN & NICOBAR ISLANDS,2006,2404.70
ANDAMAN & NICOBAR ISLANDS,2007,2748.00
ANDAMAN & NICOBAR ISLANDS,2008,3374.80
ANDAMAN & NICOBAR ISLANDS,2009,2538.60
ANDAMAN & NICOBAR ISLANDS,2010,3157.10
ANDAMAN & NICOBAR ISLANDS,2011,3828.00
ANDAMAN & NICOBAR ISLANDS,2012,3497.60
ANDAMAN & NICOBAR ISLANDS,2013,3757.80
ANDAMAN & NICOBAR ISLANDS,2014,2622.40
ANDAMAN & NICOBAR ISLANDS,2015,2904.60
ARUNACHAL PRADESH,1916,
ARUNACHAL PRADESH,1917,
ARUNACHAL PRADESH,1918,5486.30
ARUNACHAL PRADESH,1919,4693.90
ARUNACHAL PRADESH,1920,4106.70
ARUNACHAL PRADESH,1921,5691.40
ARUNACHAL PRADESH,1922,4187.20
ARUNACHAL PRADESH,1923,3507.50
ARUNACHAL PRADESH,1924,4450.50
ARUNACHAL PRADESH,1925,4439.80
ARUNACHAL PRADESH,1926,3521.60
ARUNACHAL PRADESH,1927,5253.20
ARUNACHAL PRADESH,1928,5272.70
ARUNACHAL PRADESH,1929,4320.20
ARUNACHAL PRADESH,1930,4334.10
ARUNACHAL PRADESH,1931,4872.10
ARUNACHAL PRADESH,1932,4850.90
ARUNACHAL PRADESH,1933,3773.30
ARUNACHAL PRADESH,1934,4575.70
ARUNACHAL PRADESH,1935,4173.70
ARUNACHAL PRADESH,1936,4788.90
ARUNACHAL PRADESH,1937,3375.10
ARUNACHAL PRADESH,1938,6129.00
ARUNACHAL PRADESH,1939,3898.70
ARUNACHAL PRADESH,1940,4099.30
ARUNACHAL PRADESH,1941,4220.20
ARUNACHAL PRADESH,1942,3828.20
ARUNACHAL PRADESH,1943,4326.70
ARUNACHAL PRADESH,1944,3904.30
ARUNACHAL PRADESH,1945,3649.30
ARUNACHAL PRADESH,1946,4011.20
ARUNACHAL PRADESH,1947,4369.10
ARUNACHAL PRADESH,1948,6331.10
ARUNACHAL PRADESH,1949,4874.70
ARUNACHAL PRADESH,1950,
ARUNACHAL PRADESH,1951,3354.20
ARUNACHAL PRADESH,1952,2396.10
ARUNACHAL PRADESH,1953,
ARUNACHAL PRADESH,1957,
ARUNACHAL PRADESH,1958,5063.50
ARUNACHAL PRADESH,1959,4195.50
ARUNACHAL PRADESH,1960,3709.40
ARUNACHAL PRADESH,1961,3676.50
ARUNACHAL PRADESH,1962,
ARUNACHAL PRADESH,1963,4138.00
ARUNACHAL PRADESH,1964,4959.30
ARUNACHAL PRADESH,1965,2196.80
ARUNACHAL PRADESH,1966,2209.60
ARUNACHAL PRADESH,1967,1668.50
ARUNACHAL PRADESH,1968,2139.00
ARUNACHAL PRADESH,1969,1877.70
ARUNACHAL PRADESH,1970,1973.40
ARUNACHAL PRADESH,1971,2184.50
ARUNACHAL PRADESH,1972,2281.30
ARUNACHAL PRADESH,1973,2457.50
ARUNACHAL PRADESH,1974,3063.90
ARUNACHAL PRADESH,1975,2213.30
ARUNACHAL PRADESH,1976,2419.50
ARUNACHAL PRADESH,1977,3774.30
ARUNACHAL PRADESH,1978,2531.00
ARUNACHAL PRADESH,1979,2773.60
ARUNACHAL PRADESH,1980,3215.30
ARUNACHAL PRADESH,1981,2790.90
ARUNACHAL PRADESH,1982,2779.50
ARUNACHAL PRADESH,1983,3335.30
ARUNACHAL PRADESH,1984,3278.00
ARUNACHAL PRADESH,1985,3266.20
ARUNACHAL PRADESH,1986,2495.60
ARUNACHAL PRADESH,1987,3433.20
ARUNACHAL PRADESH,1988,4155.30
ARUNACHAL PRADESH,1989,3281.60
ARUNACHAL PRADESH,1990,3604.00
ARUNACHAL PRADESH,1991,3434.40
ARUNACHAL PRADESH,1992,2707.00
ARUNACHAL PRADESH,1993,3348.90
ARUNACHAL PRADESH,1994,2287.40
ARUNACHAL PRADESH,1995,3068.80
ARUNACHAL PRADESH,1996,2520.50
ARUNACHAL PRADESH,1997,2274.90
ARUNACHAL PRADESH,1998,3616.70
ARUNACHAL PRADESH,1999,2316.60
ARUNACHAL PRADESH,2000,2596.80
ARUNACHAL PRADESH,2001,2036.00
ARUNACHAL PRADESH,2002,2389.20
ARUNACHAL PRADESH,2003,2451.80
ARUNACHAL PRADESH,2004,2545.70
ARUNACHAL PRADESH,2005,2335.50
ARUNACHAL PRADESH,2006,2259.60
ARUNACHAL PRADESH,2007,3020.70
ARUNACHAL PRADESH,2008,2244.40
ARUNACHAL PRADESH,2009,1749.90
ARUNACHAL PRADESH,2010,2855.70
ARUNACHAL PRADESH,2011,2193.70
ARUNACHAL PRADESH,2012,3440.30
ARUNACHAL PRADESH,2013,2042.90
ARUNACHAL PRADESH,2014,2403.20
ARUNACHAL PRADESH,2015,2767.50
ASSAM & MEGHALAYA,1901,2498.60
ASSAM & MEGHALAYA,1902,2952.10
ASSAM & MEGHALAYA,1903,2544.70
ASSAM & MEGHALAYA,1904,2664.10
ASSAM & MEGHALAYA,1905,2790.60
ASSAM & MEGHALAYA,1906,2663.40
ASSAM & MEGHALAYA,1907,2521.10
ASSAM & MEGHALAYA,1908,2277.80
ASSAM & MEGHALAYA,1909,2377.00
ASSAM & MEGHALAYA,1910,2887.30
ASSAM & MEGHALAYA,1911,3096.20
ASSAM & MEGHALAYA,1912,2743.50
ASSAM & MEGHALAYA,1913,2760.50
ASSAM & MEGHALAYA,1914,2343.80
ASSAM & MEGHALAYA,1915,3165.10
ASSAM & MEGHALAYA,1916,2601.10
ASSAM & MEGHALAYA,1917,2519.90
ASSAM & MEGHALAYA,1918,3106.80
ASSAM & MEGHALAYA,1919,2344.20
ASSAM & MEGHALAYA,1920,2623.60
ASSAM & MEGHALAYA,1921,2999.70
ASSAM & MEGHALAYA,1922,2261.90
ASSAM & MEGHALAYA,1923,2440.60
ASSAM & MEGHALAYA,1924,2691.40
ASSAM & MEGHALAYA,1925,2550.50
ASSAM & MEGHALAYA,1926,2511.70
ASSAM & MEGHALAYA,1927,2793.10
ASSAM & MEGHALAYA,1928,2634.30
ASSAM & MEGHALAYA,1929,2953.80
ASSAM & MEGHALAYA,1930,2550.70
ASSAM & MEGHALAYA,1931,2800.10
ASSAM & MEGHALAYA,1932,2888.70
ASSAM & MEGHALAYA,1933,2339.10
